Animal ID,Birth Code,Diet Code,Cross Foster Code,Sex Code,Age Code,Total_Duration,%_Duration_outer_zone,Total_Distance,%_Distance_outer_zone,Total_Velocity
2173,Asphyxia,Control,BC6,Male,3,299.71,1.714991158,817.53,4.804716646,1.312222222
2174,Asphyxia,Control,BC6,Male,3,299.72,18.49392767,2501.29,29.42281783,4.498888889
2172,Asphyxia,Control,BC6,Male,3,299.71,17.01644923,2981.15,37.46842661,6.157777778
2171,Asphyxia,Control,BC6,Male,3,299.71,12.72563478,2043.42,12.79179023,2.957777778
2465,Asphyxia,Control,BC20,Male,3,278.63,99.0560959,1221.87,89.5054302,3.870555556
2466,Asphyxia,Control,BC20,Female,3,321.43,100,443.2,100,0.446111111
2161,Asphyxia,Control,DW193,Male,3,299.71,76.97774515,691.56,52.43362832,1.067222222
2162,Asphyxia,Control,DW193,Male,3,299.72,77.69251301,1829.92,49.54806768,3.400555556
2164,Asphyxia,Control,DW193,Male,3,299.72,2.145335647,1415.31,2.795853912,1.665555556
2508,Asphyxia,Creatine,DW326,Female,3,280.88,100,2229.76,100,2.649444444
2509,Asphyxia,Creatine,DW326,Female,3,280.5,88.68092692,2679.04,74.25682334,4.704444444
2510,Asphyxia,Creatine,DW326,Female,3,280.5,96.88057041,597.65,61.85225466,3.652222222
2512,Asphyxia,Creatine,DW332,Male,3,280.76,82.50106853,1268.73,83.22338086,2.492222222
2497,Asphyxia,Creatine,DW341,Female,3,280.13,99.4181273,3660.3,98.53372674,5.545
2542,Asphyxia,Control,DW345,Female,3,280.88,93.2782683,1582.18,90.55859637,2.148333333
2553,Asphyxia,Control,DW349,Female,3,280.38,99.37584706,4311.3,97.80762183,7.614444444
2501,Asphyxia,Control,DW371,Male,3,280.63,100,24.51,100,0.024444444
2528,Asphyxia,Control,DW373,Female,3,280.38,45.9198231,1127.92,41.70951841,3.196666667
3185,Asphyxia,Control,DW380b,Female,3,279.13,98.56697596,2056.44,96.7993231,3.003333333
2577,Asphyxia,Control,DW390,Female,3,281.13,88.48219685,1033.24,56.64221285,1.847777778
2578,Asphyxia,Control,DW390,Female,3,281.13,97.06541458,364.92,80.70536008,0.854444444
2579,Asphyxia,Control,DW390,Female,3,280.26,85.59195033,3269.89,66.39856387,10.035
2809,Asphyxia,Control,DW393,Male,3,309.25,100,2575.47,100,3.301111111
2810,Asphyxia,Control,DW393,Female,3,356.86,100,118.32,100,0.111666667
2710,Asphyxia,Creatine,DW394,Male,3,281.38,100,588.96,100,0.691111111
2711,Asphyxia,Creatine,DW394,Male,3,374.83,100,76.41,100,0.070555556
2639,Asphyxia,Control,DW400,Male,3,281.38,9.819461227,1116.7,21.12653354,1.958888889
2639,Asphyxia,Control,DW400,Male,3,281.13,96.2650731,1626.88,93.30866444,2.44
2642,Asphyxia,Control,DW400,Female,3,281.25,100,259.63,100,0.291111111
2941,Asphyxia,Creatine,DW417b,Female,3,281,100,351.01,100,0.346111111
2941,Asphyxia,Creatine,DW417b,Female,3,281,95.10676157,852.89,99.97420535,0.989444444
2867,Asphyxia,Creatine,DW420,Male,3,374.33,95.77111105,1286.14,84.82746824,2.471111111
2866,Asphyxia,Creatine,DW420,Female,3,280.88,34.89034463,898.53,31.88429991,1.447777778
2868,Asphyxia,Creatine,DW420,Female,3,280.51,96.92346084,2569.69,89.27964073,6.817222222
3201,Asphyxia,Control,DW420b,Female,3,281.13,100,778.48,100,0.749444444
3203,Asphyxia,Control,DW420b,Female,3,321.57,100,2500.6,100,2.748333333
3203,Asphyxia,Control,DW420b,Male,3,280.88,100,65.77,100,0.070555556
2686,Asphyxia,Creatine,DW426a,Female,3,281.38,99.4207122,1080.41,100,1.03
2684,Asphyxia,Creatine,DW426a,Female,3,281.13,90.21804859,1580.27,87.25091282,2.174444444
2685,Asphyxia,Creatine,DW426a,Male,3,281.25,98.75555556,1935.55,100,1.846111111
2984,Asphyxia,Control,DW426c,Male,3,280.25,99.28635147,502.92,94.37683926,1.266666667
2986,Asphyxia,Control,DW426c,Female,3,280.51,31.50689815,1893.02,33.56699876,3.888888889
2215,C section,Control,BC7,Female,3,279.26,75.24529113,3948.24,69.43929447,12.16444444
2217,C section,Control,BC7,Male,3,281.38,100,2424.37,100,2.632222222
2248,C section,Control,DW164,Male,3,280.75,90.65004452,1301.89,54.79264761,2.433333333
2249,C section,Control,DW164,Male,3,280.63,100,491.53,100,0.482222222
2179,C section,Control,DW184,Male,3,281.25,100,1883.32,100,2.292222222
2178,C section,Control,DW184,Male,3,281.13,100,1523.84,100,1.505
2365,C section,Control,DW226,Male,3,280.5,98.03921569,1747,99.31825987,2.100555556
2366,C section,Control,DW226,Male,3,280.5,82.26381462,2734.81,82.84816861,4.654444444
2228,C section,Control,DW264,Male,3,320.86,96.16966901,7361.34,93.31222305,12.31055556
2370,C section,Control,DW266,Male,3,321,98.97507788,9315.59,97.99432994,12.37722222
2371,C section,Control,DW266,Male,3,280.88,97.10552549,1190.79,86.00424928,2.250555556
2368,C section,Control,BC27,Male,3,280.88,90.4300769,2218.06,80.06456092,5.427777778
2371,C section,Control,BC27,Female,3,280.75,97.23953695,973.27,99.00952459,1.157777778
2559,C section,Creatine,DW267,Male,3,360.5,93.06518724,1632.71,85.82785675,2.663888889
2560,C section,Creatine,DW267,Male,3,344.63,95.72004759,2065.4,88.76343565,3.107222222
2457,C section,Creatine,DW334,Female,3,278.25,100,1794.77,100,2.056111111
2597,C section,Control,DW337,Female,3,266.63,91.41882009,3313.15,85.78361982,6.361111111
2599,C section,Control,DW337,Female,3,307,91.76221498,3850.69,84.14050469,10.03388889
2600,C section,Control,DW337,Female,3,280.88,92.34548562,2354.57,74.24540362,4.926666667
2490,C section,Control,DW368,Male,3,281.25,100,1889.44,100,1.814444444
2491,C section,Control,DW368,Male,3,321.43,100,1052.97,100,1.033333333
2725,C section,Control,DW380,Male,3,281.13,100,56.54,100,0.055555556
2726,C section,Control,DW380,Female,3,281.38,89.51595707,511.07,68.74792103,0.976111111
2527,C section,Control,DW380,Male,3,281.13,99.15341657,2210.18,97.98930404,3.300555556
2802,C section,Creatine,DW413,Male,3,281,100,204.18,100,0.203888889
2804,C section,Creatine,DW413,Female,3,281,100,907.32,100,0.886111111
2805,C section,Creatine,DW413,Male,3,281,100,1603.28,100,1.587222222
2691,C section,Creatine,DW417,Female,3,281.25,98.84444444,1910.43,95.29844067,3.69
2692,C section,Creatine,DW417,Female,3,280.88,100,2157.22,100,2.049444444
2857,C section,Control,DW424,Male,3,281.01,96.03928686,1806.48,88.89221027,3.136666667
2858,C section,Control,DW424,Female,3,281.13,77.36634297,2578.97,50.82571724,5.712222222
2859,C section,Control,DW424,Female,3,280.13,93.17102774,2516.38,86.53541993,3.283333333
2761,C section,Control,DW426b,Female,3,540.01,95.2537916,8102.06,90.13497802,16.08777778
2763,C section,Control,DW426b,Female,3,540.01,81.45775078,5626.61,72.29823997,9.672222222
2763,C section,Control,DW426b,Female,3,540,100,4917.3,100,4.580555556
3211,C section,Creatine,DW426d,Female,3,281.38,100,96.62,100,0.094444444
3212,C section,Creatine,DW426d,Female,3,281.13,100,758.27,100,0.773888889
2816,C section,Control,DW432,Male,3,409.13,100,3429.13,100,3.437222222
2817,C section,Control,DW432,Female,3,333,100,629.46,100,0.625555556
2781,C section,Control,DW434,Male,3,280.63,100,1900.04,100,2.051666667
2782,C section,Control,DW434,Male,3,280.88,85.3140131,2310.23,81.38886604,3.311666667
2838,C section,Control,DW438,Female,3,321,96.35202492,5050.24,95.85504847,6.839444444
2839,C section,Control,DW438,Male,3,280,4.821428571,368.03,14.84661577,0.625555556
2840,C section,Control,DW438,Female,3,280.76,95.32340789,1743.84,96.98882925,2.067222222
3153,C section,Creatine,DW446,Female,3,280.63,98.3964651,4630.52,97.82659399,6.332222222
3154,C section,Creatine,DW446,Male,3,280.88,99.02093421,3665.3,97.71451177,5.417777778
3155,C section,Creatine,DW446,Male,3,280.63,95.99116274,6358.13,94.35289936,12.03722222
3156,C section,Creatine,DW446,Male,3,281,98.84341637,2968.58,96.44139622,4.747222222
2896,C section,Creatine,DW449,Male,3,280.25,87.42194469,2515.85,77.91879484,3.373888889
3223,C section,Creatine,DW449b,Female,3,280.13,95.71627459,2153.98,91.54309696,3.038888889
3224,C section,Creatine,DW449b,Male,3,280.13,100,2532.47,100,2.668888889
3225,C section,Creatine,DW449b,Female,3,280.25,90.00892061,1755.24,68.33481461,4.971111111
